ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
,,,3642,Farmácias de manipulação e drogarias - Entregar Balanços e Relações Mensais de Notificação de Receitas da Portaria 344/98,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3642
,,,3639,Farmácias de manipulação e drogarias - Entregar Receitas de Medicamentos de Controle Especial Emergenciais ou que sejam de outros estados,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3639
,,,810,Foco de dengue - Solicitar vistoria de local com água parada,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=810
,,,4059,Licença de Funcionamento Sanitária (CMVS) - Solicitar inclusão de Responsável Técnico,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4059
,,,3731,Notificação de receita de controle especial - Solicitar retirada de talonário ou de numeração,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3731
,,,3732,Notificação de receita de controle especial – Cadastrar ou atualizar dados de prescritor e de instituição de saúde,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3732
,,,812,Pernilongo/Mosquito - Solicitar vistoria em local infestado,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=812
613,Registro de animais - RGA,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=613,,,
615,Eutanásia (morte sem dor),https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=615,,,
618,Animal agressor e/ou invasor,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=618,,,
620,Dengue/chikungunya/zika (mosquito aedes aegypti),https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=620,,,
616,Exames e vacinas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=616,,,
614,Adoção de animais,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=614,,,
617,Animal em via pública,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=617,,,
611,Intoxicações diversas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=611,,,
619,Criação inadequada de animais,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=619,,,
